n_observations,plan_kind,projected_savings_usd,optimizer_fired
0,pass_through,0.0,False
1,pass_through,0.0,False
2,pass_through,0.0,False
3,rewritten,0.004839,True
4,rewritten,0.004839,True
5,rewritten,0.004839,True
6,rewritten,0.004839,True
7,rewritten,0.004839,True
8,rewritten,0.004839,True
9,rewritten,0.004839,True
10,rewritten,0.004839,True
11,rewritten,0.004839,True
12,rewritten,0.004839,True
13,rewritten,0.004839,True
14,rewritten,0.004839,True
15,rewritten,0.004839,True
16,rewritten,0.004839,True
17,rewritten,0.004839,True
18,rewritten,0.004839,True
19,rewritten,0.004839,True
20,rewritten,0.004839,True
