config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,cc_fire_count
all-on,54,100,54.0,3.0,5.0,0.4531,2,5,62.2057,39.9108,22.2950,413401,264808,35.94,95
CacheHit-off,53,100,53.0,2.0,5.0,0.7266,3,5,62.2057,40.5842,21.6216,413401,269305,34.86,92
ContextCompress-off,52,100,52.0,1.0,5.0,1.0000,2,3,62.2057,62.2093,-0.0036,413401,413401,0.00,0
ParallelBranch-off,51,100,51.0,0.0,5.0,1.0000,4,4,62.2057,40.5811,21.6246,413401,269305,34.86,92
ModelDowngrade-off,54,100,54.0,3.0,5.0,0.4531,2,5,62.2057,40.5877,21.6180,413401,269305,34.86,92
StateDrop-off,52,100,52.0,1.0,5.0,1.0000,3,4,62.2057,40.5859,21.6198,413401,269305,34.86,92
CacheHit-only,53,100,53.0,2.0,5.0,0.6875,2,4,62.2057,62.2064,-0.0006,413401,413401,0.00,0
ContextCompress-only,52,100,52.0,1.0,5.0,1.0000,3,4,62.2057,40.5853,21.6204,413401,269305,34.86,92
ParallelBranch-only,53,100,53.0,2.0,5.0,0.6875,2,4,62.2057,62.2039,0.0018,413401,413401,0.00,0
ModelDowngrade-only,54,100,54.0,3.0,5.0,0.2500,0,3,62.2057,62.2153,-0.0096,413401,413401,0.00,0
StateDrop-only,53,100,53.0,2.0,5.0,0.6250,1,3,62.2057,62.2069,-0.0012,413401,413401,0.00,0
